granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,26.1,1,1,1,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,26.2,1,1,2,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,1,1,3,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,1,1,4,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,1,1,5,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,1,1,6,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,26.1,2,1,1,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,2,1,2,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,2,1,3,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,2,1,4,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,2,1,5,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.0,2,1,6,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.7,3,1,1,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,3,1,2,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,24.1,3,1,3,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,25.1,3,1,4,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,24.6,3,1,5,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-07-11,24.6,3,1,6,25.186,26.2,24.1,27.342,69.824,35.45643939393939,62.17272727272727,平房仓
