granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,24.0,1,1,1,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,24.0,1,1,2,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,24.5,1,1,3,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,25.5,1,1,4,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,25.5,1,1,5,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,25.666666666666668,1,1,6,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,24.0,2,1,1,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,23.5,2,1,2,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.666666666666668,2,1,3,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.5,2,1,4,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.5,2,1,5,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.0,2,1,6,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,23.83333333333333,3,1,1,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,24.5,3,1,2,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,25.5,3,1,3,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.5,3,1,4,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.666666666666668,3,1,5,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2023-10-29,26.166666666666668,3,1,6,25.30666666666667,26.666666666666668,23.5,23.92,63.19,28.145594713656383,64.72555066079295,平房仓
