granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.5,1,1,1,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.5,1,1,2,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,1,1,3,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,1,1,4,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,1,1,5,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,1,1,6,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.5,2,1,1,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,2,1,2,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.5,2,1,3,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.5,2,1,4,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.5,2,1,5,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.5,2,1,6,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,24.0,3,1,1,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.5,3,1,2,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.0,3,1,3,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,3,1,4,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,23.0,3,1,5,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2025-05-21 01:00:04,22.5,3,1,6,22.97,24.0,22.0,23.94,70.5,28.44,88.88,平房仓
