granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,1,1,1,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,1,1,2,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.5,1,1,3,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,1,1,4,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.0,1,1,5,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,1,1,6,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.0,2,1,1,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.0,2,1,2,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.5,2,1,3,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,2,1,4,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.5,2,1,5,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.25,2,1,6,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.75,3,1,1,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.5,3,1,2,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.25,3,1,3,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.0,3,1,4,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,21.75,3,1,5,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,101,2024-12-05 01:00:04,22.0,3,1,6,21.97,22.5,21.0,22.38,64.94,20.81,81.19,平房仓
