granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.5,1,1,1,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,26.5,1,1,2,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,26.0,1,1,3,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,26.0,1,1,4,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.5,1,1,5,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.5,1,1,6,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,2,1,1,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,2,1,2,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,2,1,3,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,24.5,2,1,4,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.5,2,1,5,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,2,1,6,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,26.0,3,1,1,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,3,1,2,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,24.5,3,1,3,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.5,3,1,4,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,3,1,5,25.33,26.5,24.5,27.0,63.06,,,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-08-13 08:30:00,25.0,3,1,6,25.33,26.5,24.5,27.0,63.06,,,平房仓
