granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,23.5,1,1,1,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.0,1,1,2,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.0,1,1,3,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,27.5,1,1,4,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,28.5,1,1,5,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,28.0,1,1,6,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,23.0,2,1,1,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,23.5,2,1,2,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.0,2,1,3,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,26.0,2,1,4,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,28.0,2,1,5,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,26.75,2,1,6,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.25,3,1,1,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.25,3,1,2,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,25.0,3,1,3,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,24.5,3,1,4,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,25.0,3,1,5,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2024-08-22 01:00:26,25.0,3,1,6,25.26,28.5,23.0,24.5,66.63,27.19,92.5,平房仓
