granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,21.64516129032258,1,1,1,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,22.70967741935484,1,1,2,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,24.032258064516128,1,1,3,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,24.806451612903224,1,1,4,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,23.032258064516128,1,1,5,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,22.91935483870968,1,1,6,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,21.870967741935484,2,1,1,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,23.870967741935484,2,1,2,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,24.870967741935484,2,1,3,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
中正粮食储备库,113.860097,22.55742,广东省深圳市宝安区西乡街道蚝业社区大铲湾港区辅八路与辅五路交汇粮食交易中心,102,2023-11-20,24.758064516129032,2,1,4,23.71516129032258,25.258064516129032,21.64516129032258,22.923870967741937,64.23290322580645,26.55229074889868,65.03471365638767,平房仓
